cluster,size,pct_of_total,top_terms,sample_1,sample_2,sample_3,sample_4,sample_5
4,44584,54.21,"amazon, order, delivery, prime, service, day, delivered, package, customer, help, ordered, today","prime reading凄すぎてますますプライム会員やめれない(*ﾟ∀ﾟ*)
凄い、Amazon！！","prime now 初体験！
何これ便利すぎるー❤️注文から2時間で届いた😱💓
子ども２人連れて買い物行くの大変すぎるから、これからはパパいない時はこれ利用しまくる😍
サインレスだし最高～❤️❤️
#Amazon https://t.co/R3wY1tWh6i",amazon primeほんと助かる～♪,さて、Amazon Kindle到着待機なう。注文した翌日に届くなんて素晴らしい( ´∀｀),"これってさ、本物？Amazonからショートメールなんて来たことないのに。
#Amazon https://t.co/Nkiuw1zIyM"
6,37640,45.77,"que, en, la, el, le, app, kindle, mi, por, hey, es, alexa","@132703 la aptitud del repartidor(según su tienda) y la actitud de la recepcionista de la tienda en Martorell dejan mucho que desear.
De un paquete de 24 horas de @116928  se va a convertir en uno de 72horas.
Conseguirán que anulen el pedido.
La hora que es ,sin noticias https://t.co/y2tWx24r0U","@AmazonHelp por la tranquilidad de los padres y la felicidad de los niños, yo que vosotros no confiaba en ellos en entrega garantizada, porque no es así y les da igual el trastorno que causan","#QueMeFalteTodoMenos el aire para respirar o que me falte el alma si la quiere Dios, que me falte un año para envejecer, pero que nunca me faltes tu mi amor.... @115821 #BlackFridayEnAmazon #BlackFriday","Señores de @116928 podrian explicar que ocurrio anoche,despues de que confirmase un pedido de un lote,y hoy me envian lo que le ha interesado y el resto lo hayan cancelado sin comunicacion alguna. Me pueden explicar para que quiero el mando de la ps4, sin la consola?. https://t.co/w60nnbL4ZA","@AmazonHelp que guay que la caguéis con el envío,que tenga que esperar más de lo que tendría que hacerlo y que encima sólo me ofrezcais la opción de rechazar el producto o devolverlo gratuitamente... muy descontento con vuestro servicio y ahora a saber cuando llegara mi pedido"
10,6,0.01,"fed, amazonindia, really, service, services, estimate, estimated, estimated delivery, esto, esto es, estos, estou","#AmazonIndia
Really fed up with your service...😤",#AmazonIndia https://t.co/Xvf5AkSYwy,#AmazonIndia https://t.co/3xd4bxVuSb,"@115850 hypocrisy?😢
#AmazonIndia https://t.co/vmYB0GIc7A",#AmazonIndia https://t.co/wMCuh27ONl
12,4,0.0,"anybody, discount, gonna, offer, buy, need, eu te, estos, estou, estoy, está, está en","I am gonna need to buy a microwave (morphy richards 23mcg) of around 9K. Can anybody offer me a discount?
@115850 @AmazonHelp",@115850 why offer a discount of Re 1? 🤔 https://t.co/4c7whEfQS0,@AmazonHelp anybody there?,"Anybody there, @AmazonHelp? https://t.co/ukX7I6DU2m",
7,2,0.0,"update order, order item, receipt, update, gift, item, order, tracking, et, están, está en, et il",@115821 how do I update an order so that the item includes a gift receipt?,@AmazonHelp can I have a tracking update on my order,,,
3,2,0.0,"mob, delivery man, man, amazon, wasting time, wasting, 10 17, 27, actual, mr, 17, delivery",Delivery man  Mr.  Rohit of Amazon  is the thief  of mob one plus 5purchased  by me  on 27/10/17 but  Amazon is not  questioning the  actual  thief  and  wasting time. IWill request  Amazon  to ask Delivery  man Rohit of  Amazon  to give  the where about  of mob.,Amazon  may  file FIR with  Delhi  police  against  Delivery  man   Mr  Rohit of Amazon  for  stealing my  mob phone one plus 5purchased by me  on 27/10/17from Amazon  after  making  advance  payment of  rs30627/-.or IWill file FIR against   Rohit  delivery  man of Amazon.,,,
5,1,0.0,"cierto, envío, hoy, paquete, entrega, es, esto es, estos, estou, estoy, está, está en",@116875 HOY me engañaron con entrega de un paquete y NO es cierto q vinieron a domicilio y me COBRARON envío 😡😡😡 https://t.co/TIuH4XDtHH,,,,
2,1,0.0,"unhelpful, future, 28, cause, rude, hasn shipped, promise, question, ridiculous, order delivered, ordering, 11",@115821 very disappointed in ur rude &amp; unhelpful customer service. When you promise to have an order delivered by 11/28 and it still hasn't even shipped is ridiculous and will cause me to question ordering anything from your site in the future.,,,,
0,1,0.0,"material, unable, refund, order, estimated delivery, esto, esto es, estos, estou, estoy, está, está en",@115850 why u take order if u r unable to refund the material. https://t.co/ZykX6sOj2W,,,,
1,1,0.0,"delivery time, bad experience, multiple, despite, calls, cancel order, delivery, bad, experience, cancel, day delivery, time",@115850 Very bad experience with delivery this time. Despite multiple calls-2 day delivery not adhered to.Had to eventually cancel order.,,,,
9,1,0.0,"quicker, moon, international, shipping order, mention, hell, expect, page, coming, shipping, delivery, order",Where the HELL is it coming from @115830?  It'd be quicker to expect delivery from THE MOON!  No mention of an international shipping on the order page. https://t.co/DfTw98zlFc,,,,
8,1,0.0,"basis, help, query, fr, urgent, ready, solve, need help, ur, dear, need, etwas",Dear @115850 please solve my query. i need your help on urgent basis. ur cse are not ready fr help me #boughtmotog5splusfrmamazon,,,,
11,1,0.0,"knocking, car, note, leaving, delivery driver, delivery, shit, driver, door, say, parcel, thanks",Thanks to the shit @115821 delivery driver who put my delivery behind the car wheel without even leaving a note to say it was there?? Or even knocking on the door to give us the parcel??? @AmazonHelp @123644 @115830,,,,
13,1,0.0,"quite, delivery arrived, 10am, day waiting, excuse, waiting delivery, ordered prime, dispatched, thing, things, isn, arrived","When I ordered from @115830 Prime and would’ve quite liked an excuse to lounge on the sofa all day while waiting for delivery, it arrived 10am sharp. NOW, when I have things to do, the blooming thing isn’t even saying ‘dispatched’. 

Quite the relatable #firstworldtweet.",,,,
