golden_id,source_tweet_id,component_id,text,heuristic_intent,human_intent,difficulty,language_scope,annotator_notes
g0001,1558779,1416286,"So what’s the point of pre-ordering a game for delivery on it’s release date if it won’t even come until the week after? Explain, @115821",delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0002,419059,366395,"Why do I pay for @115821 Prime when nothing gets delivered in 2 days anymore...even when it says ""guaranteed"" ... #InternetWalmart",delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Complains delivery isn't meeting the Prime guarantee; no charge/cancel action requested, so classified as delivery, not Prime billing."
g0003,549562,485835,"@115830 I do not think guaranteed means what you think it means, yet another order misses it's 'guaranteed' delivery... nice one...",delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0004,1535518,1394717,"Awesome @115821 GUARANTEED delivery today - seems ""today"" is now late NOVEMBER. WTF!? Why do I pay for #prime- worthless. Getting worse...",delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Prime mentioned as context for a delivery-speed complaint, not a billing/cancel request."
g0005,726389,648832,The fact that my last 2 amazon orders haven't arrived even remotely on time is kind of annoying... @115821 @AmazonHelp,delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0006,2265493,2105090,@119356 Amazon alos started cheating by saying we failed to deliver because we couldnt contact order 408-9363637-0313916 whereas courier guy says he has no parcel,delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,heuristic single-pattern match | Disputes a failed-delivery claim; core issue is non-receipt.
g0007,1738955,1586456,"Oh @AmazonHelp says my package was delivered to a neighbour. Doesn’t say which neighbour, there’s no card through door. 40 houses in street!",delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Misdelivered to an unnamed neighbour -- no address-correction request stated, so kept as Delivery not Address."
g0008,494861,434930,@AmazonHelp Hi I ordered a parcel today order number #204-0948754-5997120 + #204-8409226-0967504 and it says it was delivered to a neighbour but the neighbour claims they don't have it despite me receiving an email claiming it had?,delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,"heuristic single-pattern match | Same as g0007: uncertain-location non-receipt, not an explicit wrong-address report."
g0009,1680954,1532148,"@115850 I ordered my oneplus5 on 1st Nov, 2017 and the scheduled date was 6th Nov. Haven’t received any update on tracking since 2nd Nov. https://t.co/UFbAI273yd",delivery_issue,Delivery Issue,Easy,in_scope_english_heuristic,heuristic single-pattern match
g0010,2544936,2377441,"@115830 
Apparently you tried to deliver a package to me at 4pm..If I wasn't in it was to be delivered to my neighbour.. Someone is telling pokies.",delivery_issue,Delivery Issue,Medium,in_scope_english_heuristic,heuristic single-pattern match | Garbled phrasing but core issue is a disputed delivery attempt.
